Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sob-APnd_001-Ex1-1A-lcwgs-1-T.1	21.485570874010207	45.0	150.0	27.27272727272727	1247668.0
Sob-APnd_001-Ex1-1A-lcwgs-1-T.2	19.71519080270643	45.0	150.0	18.181818181818183	1247668.0
Sob-APnd_002-Ex1-2A-lcwgs-1-T.1	18.334628480956354	46.0	150.0	18.181818181818183	293835.0
Sob-APnd_002-Ex1-2A-lcwgs-1-T.2	16.023773183634574	46.0	150.0	18.181818181818183	293835.0
Sob-APnd_003-Ex1-3A-lcwgs-1-T.1	4.24574719211202	44.0	150.0	9.090909090909092	621278.0
Sob-APnd_003-Ex1-3A-lcwgs-1-T.2	3.6068736891181885	45.0	150.0	9.090909090909092	621278.0
Sob-APnd_004-Ex1-4A-lcwgs-1-T.1	17.59253900796635	44.0	150.0	27.27272727272727	758672.0
Sob-APnd_004-Ex1-4A-lcwgs-1-T.2	15.935728599444346	45.0	150.0	27.27272727272727	758672.0
Sob-APnd_005-Ex1-5A-lcwgs-1-T.1	15.302092185766256	47.0	150.0	18.181818181818183	156528.0
Sob-APnd_005-Ex1-5A-lcwgs-1-T.2	13.89505475852954	47.0	150.0	18.181818181818183	156528.0
Sob-APnd_006-Ex1-6A-lcwgs-1-T.1	25.41588850728934	46.0	150.0	27.27272727272727	7344241.0
Sob-APnd_006-Ex1-6A-lcwgs-1-T.2	23.855206564509814	46.0	150.0	27.27272727272727	7344241.0
Sob-APnd_007-Ex1-7A-lcwgs-1-T.1	21.219629834593263	45.0	150.0	27.27272727272727	12274993.0
Sob-APnd_007-Ex1-7A-lcwgs-1-T.2	19.66639032134995	46.0	150.0	27.27272727272727	12274993.0
Sob-APnd_008-Ex1-8A-lcwgs-1-T.1	8.416658821451264	45.0	150.0	18.181818181818183	375341.0
Sob-APnd_008-Ex1-8A-lcwgs-1-T.2	7.510152069532822	45.0	150.0	18.181818181818183	375341.0
Sob-APnd_009-Ex1-9A-lcwgs-1-T.1	9.3368278361841	45.0	150.0	27.27272727272727	276864.0
Sob-APnd_009-Ex1-9A-lcwgs-1-T.2	8.500057254611491	45.0	150.0	27.27272727272727	276864.0
Sob-APnd_010-Ex1-10A-lcwgs-1-T.1	12.825058132472918	43.0	150.0	18.181818181818183	11437240.0
Sob-APnd_010-Ex1-10A-lcwgs-1-T.2	12.075210767569772	43.0	150.0	18.181818181818183	11437240.0
Sob-APnd_011-Ex1-11A-lcwgs-1-T.1	9.016590454741547	44.0	150.0	27.27272727272727	309098.0
Sob-APnd_011-Ex1-11A-lcwgs-1-T.2	8.355338683935969	45.0	150.0	27.27272727272727	309098.0
Sob-APnd_012-Ex1-12A-lcwgs-1-T.1	10.88780426046391	45.0	150.0	27.27272727272727	783127.0
Sob-APnd_012-Ex1-12A-lcwgs-1-T.2	10.09700666069935	45.0	150.0	27.27272727272727	783127.0
