#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1212782	1025873	84.58	1046	0.09	229	0.02	5323	0.44	180311	14.87
Ecoli	1212782	1212768	100.00	0	0.00	0	0.00	1	0.00	13	0.00
PhiX	1212782	1212782	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1212782	1212757	100.00	0	0.00	0	0.00	1	0.00	24	0.00
Vectors	1212782	1156540	95.37	4	0.00	0	0.00	275	0.02	55963	4.61
Bacteria_24k	1212782	1047589	86.39	4639	0.38	5145	0.42	4493	0.37	150916	12.44
Protists_1k	1212782	1005069	82.88	5004	0.41	8995	0.74	3937	0.32	189777	15.65
Viruses	1212782	1057118	87.17	34	0.00	17	0.00	3558	0.29	152055	12.54
Fungi_RefSeq_release	1212782	1028771	84.84	655	0.05	146	0.01	5634	0.46	177576	14.64
Coral	1212782	1052952	86.82	87	0.01	47	0.00	5800	0.48	153896	12.69
Bird	1212782	1043951	86.09	285	0.02	246	0.02	5862	0.48	162438	13.39
Plant	1212782	1043319	86.02	255	0.02	83	0.01	5698	0.47	163427	13.48

%Hit_no_genomes: 81.64
