#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7139	5825	81.58	12	0.17	4	0.06	19	0.27	1279	17.92
Ecoli	7139	7133	99.92	0	0.00	0	0.00	1	0.01	5	0.07
PhiX	7139	7139	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7139	7138	99.99	0	0.00	0	0.00	0	0.00	1	0.01
Vectors	7139	6242	87.44	1	0.01	0	0.00	1	0.01	895	12.54
Bacteria_24k	7139	5873	82.27	16	0.22	105	1.47	20	0.28	1125	15.76
Protists_1k	7139	5736	80.35	25	0.35	42	0.59	16	0.22	1320	18.49
Viruses	7139	5949	83.34	0	0.00	0	0.00	16	0.22	1174	16.44
Fungi_RefSeq_release	7139	5842	81.83	4	0.06	2	0.03	30	0.42	1261	17.66
Coral	7139	5944	83.26	0	0.00	0	0.00	39	0.55	1156	16.19
Bird	7139	5905	82.72	1	0.01	2	0.03	21	0.29	1210	16.95
Plant	7139	5904	82.71	1	0.01	0	0.00	18	0.25	1216	17.03

%Hit_no_genomes: 78.11
