pos	3pG>A
1	0.0261560018682858
2	0.0296977660972405
3	0.017648381294964
4	0.0127427935172584
5	0.0151843817787419
6	0.0163804491413474
7	0.0183955033214103
8	0.0185785536159601
9	0.0197604050883043
10	0.0160992346265505
11	0.0156920436434964
12	0.0149704213449233
13	0.0180872150644202
14	0.0149347389558233
15	0.0119414009602364
16	0.0134620269240538
17	0.0176003966286564
18	0.0142626813841002
19	0.0139342204368566
20	0.0147187227142323
21	0.0127963869025216
22	0.0147382029734971
23	0.0132341820015125
24	0.0144322066084314
25	0.0123318385650224
