pos	5pC>T
1	0.0338983050847458
2	0.0412556053811659
3	0.0211433046202036
4	0.0131040131040131
5	0.0166666666666667
6	0.0132575757575758
7	0.0205831903945112
8	0.0225108225108225
9	0.0211148648648649
10	0.0181992337164751
11	0.0137207425343019
12	0.0114754098360656
13	0.019134775374376
14	0.0187713310580205
15	0.0201680672268908
16	0.0132231404958678
17	0.0110450297366185
18	0.010896898575021
19	0.0107883817427386
20	0.0176211453744493
21	0.0128617363344051
22	0.0195578231292517
23	0.0169061707523246
24	0.0140597539543058
25	0.00825082508250825
