Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Sde-ABol_013-Ex1-1B-lcwgs-1-1	48.3609	40.1344	40.489799999999995	38.6534	39.5399	38.0463	38.5031	38.6137	39.221000000000004	37.4803	41.1546	40.2372	40.252500000000005	39.485	40.091300000000004	39.697900000000004	40.394600000000004	40.0233	40.4715	39.907	40.3134	39.517	40.035199999999996	39.4906	39.744	39.3448	39.8249	39.3776	39.9387	39.4043	39.8526	39.5989	40.079	39.5124	40.0632	39.571600000000004	39.9472	39.513799999999996	39.9775	39.4668	39.8164	39.339800000000004	39.763	39.521499999999996	39.8333	39.3558	39.6966	39.4195	39.818799999999996	39.3623	39.689600000000006	39.4743	39.6939	39.2439	39.7422	39.3915	39.6868	39.3615	39.772200000000005	39.3853	39.642300000000006	39.2961	39.7161	39.258700000000005	39.8032	39.2952	39.692	39.434200000000004	39.6329	39.3343	39.8264	39.2896	39.6087	39.4601	39.6346	39.3283	39.6816	39.319900000000004	39.809400000000004	39.318	39.8004	39.3562	39.8178	39.3232	39.7781	39.373200000000004	39.746700000000004	39.3898	40.061400000000006	39.3849	39.840900000000005	39.4795	39.9534	39.4647	40.035199999999996	39.6274	40.0028	39.5849	40.225699999999996	39.552	40.272400000000005	39.5306	40.0692	39.6743	40.1661	39.6621	40.2935	39.7891	40.263	40.083600000000004	40.546	39.8581	40.7623	39.760600000000004	40.9112	39.9418	40.691300000000005	40.0782	40.9942	40.2966	40.8911	40.4092	41.1482	40.3118	41.4401	40.6292	41.426	41.1035	41.5447	40.9042	41.9499	41.0916	41.826	41.357699999999994	42.1438	41.1827	42.478100000000005	41.1996	42.5567	41.8829	42.8923	41.936499999999995	43.0828	42.1139	43.5058	42.3726	43.3031	42.5826	43.458400000000005	42.4396
Sde-ABol_014-Ex1-2B-lcwgs-1-1	54.9474	43.7053	45.8316	44.4632	45.5789	42.9895	44.7789	45.6	43.452600000000004	41.8947	48.1895	47.2632	45.557900000000004	45.2	45.1158	44.6316	48.1263	44.610499999999995	46.0211	45.1579	45.7895	45.8947	46.442099999999996	44.1263	46.673700000000004	45.1158	47.0737	44.5263	45.3895	44.1053	46.6947	45.305299999999995	44.2947	44.3883	46.199200000000005	45.6192	45.0927	45.8184	45.5963	45.3013	44.0017	46.077600000000004	44.9958	44.8225	44.468	46.3378	44.2984	44.949099999999994	44.9053	44.8357	45.738800000000005	44.256	46.1472	43.566500000000005	45.8892	46.4783	43.762299999999996	45.7375	45.0859	45.2021	46.2294	45.8642	45.260099999999994	45.1203	46.4711	45.4944	48.173100000000005	44.9051	45.3084	44.914	46.3586	46.0633	42.7295	45.7128	46.4041	46.5897	46.6822	45.445	46.318	46.3494	46.122099999999996	46.3926	47.3401	46.081	47.0554	46.4623	45.3537	45.5545	46.646	46.1708	45.163399999999996	48.292699999999996	46.0849	44.5951	48.1609	46.1216	49.021	47.1465	45.957	48.221000000000004	49.9231	48.3124	46.887499999999996	48.7429	47.2945	46.389599999999994	48.4435	49.4801	48.0923	49.9098	50.623	49.5096	49.7395	51.1058	47.5184	49.750699999999995	47.0558	49.6384	48.7792	48.9696	52.579	51.7494	51.8922	47.925200000000004	50.9501	50.4232	50.184	51.4944	52.347699999999996	52.2639	51.676500000000004	50.267399999999995	54.208800000000004	52.42980000000001	48.0863	49.1501	52.661899999999996	51.099700000000006	53.0415	52.8969	54.0871	55.607099999999996	54.7022	53.364999999999995	50.0	53.1199	52.556599999999996	55.5651	54.417	55.2102
Sde-ABol_015-Ex1-3B-lcwgs-1-1	49.1797	41.1306	42.1057	40.6484	41.633700000000005	39.6133	40.4452	40.6453	41.0261	39.3277	42.841	42.140899999999995	42.075	41.0603	41.8721	41.9062	42.3615	41.4206	42.2782	41.6648	42.3878	41.084900000000005	41.8151	41.536	41.6996	41.003299999999996	41.6402	41.2652	41.8038	41.010799999999996	41.6856	41.6955	42.008	41.29	41.9979	41.619099999999996	41.8917	41.1997	41.8937	41.4544	41.7586	41.1062	41.9012	41.4721	41.8829	41.137499999999996	41.8114	41.4004	41.8238	41.1623	41.8659	41.3244	41.7188	41.024300000000004	41.7145	41.4517	41.5685	41.0295	41.7373	41.390100000000004	41.660000000000004	41.0597	41.5692	41.3708	41.6066	41.2409	41.7392	41.4463	41.665600000000005	41.1541	41.976200000000006	41.3881	41.7102	41.403400000000005	41.7666	41.4308	41.9651	41.0364	41.857	41.6559	41.652	41.2096	41.9822	41.5389	41.9069	41.4203	42.033300000000004	41.612100000000005	42.3868	41.3571	42.154	41.7667	42.086600000000004	41.7332	42.4374	41.9786	42.6856	42.102000000000004	42.4864	42.1468	42.8524	41.8382	42.983	42.3954	43.1933	42.186800000000005	43.290800000000004	42.6422	43.425799999999995	42.6711	43.297799999999995	42.873099999999994	43.722100000000005	43.1183	43.7803	43.6251	44.186	43.4157	44.8391	43.7141	44.5795	44.2566	44.999	44.3951	45.345	44.2312	45.583200000000005	44.629400000000004	45.6473	45.380700000000004	46.4476	45.283699999999996	47.024300000000004	46.0141	46.555	46.166000000000004	47.0544	46.5267	47.8641	47.3798	47.454499999999996	47.3078	48.5803	47.619699999999995	48.8977	48.3444	48.958600000000004	48.0263	49.0697	48.0413
Sde-ABol_016-Ex1-4B-lcwgs-1-1	50.63569999999999	41.483	42.8208	40.365	42.3997	39.9101	41.3254	40.618300000000005	42.127199999999995	39.4082	44.1866	42.1512	43.2345	41.511199999999995	43.0496	41.9259	43.4033	41.7526	43.289100000000005	41.9768	43.2677	41.3441	43.0904	41.5852	42.8075	41.2675	42.6837	41.2806	42.9581	41.4079	42.9686	41.6806	42.8485	41.6323	43.0104	41.8878	42.9467	41.5775	42.9825	41.702	42.9088	41.5371	42.7469	41.5698	42.6844	41.2703	42.7736	41.5493	42.795100000000005	41.439	42.6913	41.5284	42.8449	41.2055	42.687799999999996	41.647400000000005	42.7452	41.2706	42.6716	41.5332	42.6897	41.3883	42.5577	41.556599999999996	42.749500000000005	41.396699999999996	42.7481	41.605199999999996	42.5987	41.4342	42.898399999999995	41.496	42.5892	41.6624	42.6464	41.7377	42.4875	41.513099999999994	42.7308	41.5686	42.784299999999995	41.4241	42.595	41.5702	42.6993	41.7138	42.798199999999994	41.608000000000004	43.052099999999996	41.4782	42.8133	41.9013	42.694700000000005	41.9196	43.088	41.7905	43.0889	41.8744	43.1363	41.8748	43.100899999999996	41.9061	43.4568	42.316199999999995	43.3855	42.2008	43.5782	42.328700000000005	43.473099999999995	42.4237	43.4956	42.4994	43.8341	42.5152	43.9901	42.9499	44.04	43.0646	44.459700000000005	43.012499999999996	44.3615	43.227900000000005	44.507000000000005	43.172	45.029	43.422	44.921299999999995	44.1581	44.9533	43.9746	45.9436	44.015	45.539	44.1044	45.9509	44.4846	46.3326	44.617000000000004	46.4903	45.2809	46.4469	45.4385	47.435100000000006	45.445600000000006	47.3172	46.0677	47.1439	45.7613	47.8336	45.4619
Sde-ABol_017-Ex1-5B-lcwgs-1-1	49.9499	42.5812	42.9958	41.260999999999996	41.8547	40.741	40.9799	41.5175	41.9581	40.275499999999994	43.6339	42.9471	42.7371	42.0946	42.6241	42.3163	42.752	42.2183	42.933	42.3527	42.7643	41.9798	42.4676	41.829	42.5242	41.8934	42.4296	41.877399999999994	42.3497	41.9564	42.6254	42.1502	42.6095	42.0308	42.3855	42.0674	42.3514	42.1785	42.5603	41.909	42.5028	41.8938	42.3735	42.1229	42.3864	41.8268	42.505900000000004	42.1136	42.321799999999996	41.9075	42.2279	41.965	42.2491	41.9003	42.2187	41.926	42.3785	41.8853	42.3718	41.8527	42.2138	41.7604	42.2174	41.9895	42.2198	41.9582	42.3962	42.0218	42.2099	41.918499999999995	42.4953	41.9124	42.3201	41.7865	42.4915	41.9974	42.7282	41.9105	42.301899999999996	41.9744	42.4981	41.7978	42.5574	41.8803	42.4418	42.0442	42.5807	42.1199	42.8301	41.9564	42.7157	42.3609	42.67	42.1957	42.9408	42.0562	43.073499999999996	42.681799999999996	42.9093	42.2986	43.4741	42.1226	43.4521	42.7002	43.2598	42.6637	43.7047	42.6595	43.6325	43.167699999999996	44.083	43.0622	44.400800000000004	43.095299999999995	44.3485	43.5859	44.4221	43.7203	44.5115	43.864399999999996	45.0009	44.1695	44.8839	43.9449	45.1954	44.2388	45.5467	44.8722	45.609300000000005	44.5131	46.1895	45.2437	46.2343	45.0951	46.5903	45.652	47.073	45.7042	47.8044	46.1988	47.407	46.88	47.717999999999996	46.7645	47.965799999999994	47.240300000000005	47.4719	47.0542	47.8748	47.202
Sde-ABol_018-Ex1-6B-lcwgs-1-1	55.712700000000005	46.0602	47.679	45.2278	48.2837	45.0689	47.0957	45.9734	47.972300000000004	44.4037	49.6502	46.9712	48.896499999999996	46.692699999999995	48.3394	46.2945	49.337199999999996	46.4043	48.7736	46.9909	48.7801	46.4092	48.8063	46.3191	48.9309	46.4616	47.9347	46.661500000000004	49.2061	46.1798	48.5884	47.1547	48.4967	46.1144	48.7647	46.6304	48.4763	46.785399999999996	48.794	46.3778	49.2012	46.2778	48.4492	46.7618	48.808299999999996	46.4567	48.6596	46.545500000000004	48.5615	46.8814	48.3683	46.8716	48.9525	46.1242	48.6387	47.2053	48.4718	46.678	48.7936	46.2837	48.3738	46.7437	48.265299999999996	46.7449	48.8669	46.4692	48.9799	47.5901	49.1014	46.735	49.3536	47.1612	48.9964	47.564	48.7691	47.6858	49.576	47.1626	49.7689	48.1854	49.343900000000005	48.0831	49.8343	47.9019	50.5868	48.532399999999996	49.7095	48.3792	50.692099999999996	47.9476	50.749900000000004	49.1771	50.513600000000004	49.1989	51.9016	48.7424	51.1285	49.9598	51.619099999999996	49.8996	53.022499999999994	49.674099999999996	51.8868	50.661199999999994	52.6242	50.843199999999996	53.4655	50.1514	53.0941	51.9174	53.292399999999994	51.382099999999994	54.4926	51.5891	54.508100000000006	53.0689	53.876400000000004	53.351800000000004	55.2237	52.8064	54.5146	53.554500000000004	54.454499999999996	53.6664	56.3916	52.902499999999996	54.92829999999999	55.2885	55.447500000000005	53.9094	56.677299999999995	54.5409	56.0483	56.1442	56.4893	55.1491	57.1881	54.4544	56.82319999999999	56.2766	57.1983	55.684900000000006	58.3684	55.1333	58.352000000000004	56.952400000000004	57.6002	57.6968	59.184000000000005	56.31699999999999
Sde-ABol_019-Ex1-7B-lcwgs-1-1	50.5637	41.5246	42.2616	39.9324	41.0901	39.8059	40.3476	40.2211	41.6676	39.8444	43.809799999999996	42.3523	42.8941	41.4531	42.3331	41.8188	42.4706	41.2496	42.6108	41.7226	42.6906	41.3651	42.5586	41.7061	42.201100000000004	40.8041	42.1846	41.6126	42.6686	41.4503	42.093799999999995	41.8656	41.802299999999995	41.2598	42.6394	42.114000000000004	41.9476	41.193999999999996	42.1842	41.4368	42.4993	40.9513	42.226200000000006	42.3007	42.0796	41.3759	42.0024	41.471000000000004	41.9721	40.7603	42.3706	41.0632	42.229	41.493900000000004	42.5531	41.102199999999996	42.1839	41.5233	41.6888	41.489599999999996	41.5474	41.116	41.8005	41.7281	42.0363	41.1969	41.454299999999996	41.0811	41.876799999999996	41.213899999999995	41.536699999999996	42.216300000000004	41.9687	41.471000000000004	41.5617	41.1295	41.5843	41.2716	41.5776	40.7928	41.9317	40.4696	41.382400000000004	41.0817	42.0415	41.4307	42.214	40.888400000000004	41.971399999999996	40.9786	42.187999999999995	40.7986	41.600500000000004	40.5994	41.6559	41.8656	41.857699999999994	41.387	42.0698	40.3384	42.0775	41.1453	41.6032	41.6701	41.4352	41.3986	42.595499999999994	41.5908	42.5898	41.5565	42.4297	41.5279	42.373	41.1937	42.7479	42.3923	42.519	41.936499999999995	43.9233	41.2244	43.038	41.7023	41.6267	42.328700000000005	43.593900000000005	41.8598	42.1996	41.4974	42.8484	43.661100000000005	43.0386	41.7968	43.1865	41.9815	43.1546	43.2078	44.499	43.4509	44.1515	42.1713	44.7339	42.5047	46.4542	42.6763	43.1719	43.9294	45.5045	43.5507	45.0075	43.756099999999996
Sde-ABol_020-Ex1-8B-lcwgs-1-1	49.8915	42.359	42.4985	40.8562	41.7209	40.8299	40.7636	41.483599999999996	41.6954	39.837	43.7132	42.6703	42.551899999999996	41.882799999999996	42.5002	41.9581	42.7465	42.1523	42.615199999999994	42.2561	42.3831	41.9077	42.2987	41.9228	42.2785	41.6804	42.1002	41.7661	42.3276	41.8509	42.3198	42.0817	42.3228	41.964	42.3005	41.8181	42.139900000000004	41.9945	42.3396	41.8108	42.1616	41.7425	42.0586	41.998400000000004	42.115700000000004	42.0089	42.0944	41.8429	41.9576	41.9681	42.0639	41.891600000000004	42.2613	41.7488	42.1207	41.851699999999994	41.9668	41.821799999999996	41.8122	41.870200000000004	41.877399999999994	41.9529	42.024899999999995	41.882799999999996	41.853	41.8752	42.0225	41.9413	42.1296	41.93	42.0975	41.6585	42.0014	41.9572	41.910199999999996	41.7154	41.9661	41.7936	41.913	41.832	41.9722	41.5741	41.969699999999996	41.9651	41.7128	41.6218	41.8358	41.6749	41.9739	41.8707	41.9508	41.6085	41.869299999999996	41.572199999999995	41.7916	42.0639	41.863099999999996	41.5901	41.7171	42.0836	41.863299999999995	41.9801	41.7382	42.1201	41.889700000000005	41.7217	42.168299999999995	41.5775	42.012699999999995	42.1363	42.247800000000005	42.2879	42.008	42.2491	42.371900000000004	42.1096	42.1627	41.9758	42.559000000000005	42.5263	42.2302	42.6857	42.5372	42.2127	43.0068	42.6971	43.424099999999996	43.4197	43.3896	42.5854	43.1704	42.2748	43.4233	43.184400000000004	42.6049	42.9223	43.5164	43.093199999999996	44.038	43.358200000000004	43.898900000000005	44.3138	44.478899999999996	43.905	44.731300000000005	45.1188	44.4771	44.372699999999995	43.8947	45.199
Sde-ABol_021-Ex1-9B-lcwgs-1-1	50.966699999999996	44.2535	44.1998	41.8367	44.0924	39.9033	40.7626	40.7626	43.6627	40.1182	45.6498	43.018299999999996	43.6627	40.333000000000006	44.3072	41.031099999999995	44.522	41.5145	44.8443	42.159	44.2535	44.4146	43.8238	40.8163	43.7701	40.5478	41.8367	40.1719	42.696	40.4404	41.4608	41.4608	45.5961	42.159	44.4026	40.043099999999995	43.5884	41.792699999999996	43.9156	40.7688	44.607	39.6963	43.5633	42.282599999999995	44.4809	41.2377	45.7237	42.9357	41.3812	41.385	43.5	42.146499999999996	44.2383	43.492999999999995	43.621900000000004	41.6714	43.4332	41.9037	44.6397	40.177	41.5229	42.9688	43.1956	40.856300000000005	45.392700000000005	42.0888	43.8053	41.624	46.3702	39.867999999999995	44.3478	40.2181	45.536300000000004	40.5746	44.611000000000004	41.490100000000005	42.0074	41.118700000000004	42.093199999999996	41.2587	45.8926	40.4839	47.247299999999996	40.2174	44.3782	42.1603	43.5484	42.2161	44.2577	41.1652	47.424699999999994	41.699999999999996	42.9154	44.0	47.6293	42.8886	45.3001	40.7925	44.0334	39.3423	42.75	43.5279	46.114	41.3158	45.087500000000006	39.4737	47.0255	43.8495	44.5604	42.2427	45.3397	41.909400000000005	42.479299999999995	44.162400000000005	47.1404	44.306	44.3015	45.2158	50.381699999999995	43.452400000000004	45.2138	46.25	44.7537	42.5439	48.0726	42.431200000000004	46.37	44.2029	48.1297	44.9239	48.9474	45.3083	46.0274	47.1429	48.9796	45.9215	48.3077	46.129999999999995	44.827600000000004	49.0323	51.8152	49.3289	52.7972	49.2806	45.283	46.400000000000006	47.6987	51.598200000000006	47.343	49.4565
Sde-ABol_022-Ex1-10B-lcwgs-1-1	50.458499999999994	41.4419	42.322700000000005	39.5744	41.681000000000004	39.6834	40.8245	40.7125	41.4934	39.0569	43.5152	41.9413	42.5104	40.9304	42.2228	40.7609	42.919000000000004	41.3481	42.4983	41.1211	42.014	40.9123	42.4105	41.1453	42.5891	41.0787	42.3742	41.1544	41.7537	40.897099999999995	41.7416	41.1544	42.3711	40.9241	42.0004	40.903600000000004	41.789500000000004	40.8434	42.006	40.678799999999995	42.248999999999995	39.9756	42.4235	41.2425	42.2173	41.3285	41.8801	41.0458	42.2788	41.1757	41.9042	41.0308	41.6677	41.0498	41.8309	41.2153	41.999399999999994	40.9861	41.2296	41.0279	41.4866	41.388799999999996	41.8404	40.3788	41.442800000000005	41.452600000000004	42.2253	40.9668	41.1357	40.5862	42.6324	41.7256	41.787	41.1288	41.5916	41.3262	40.9609	40.9236	41.869099999999996	41.0808	42.0911	41.5051	42.0497	41.38	42.3886	41.2399	41.9257	41.2579	42.6307	40.766999999999996	42.7534	41.958	42.9985	41.2252	41.3881	42.201	42.234300000000005	42.208600000000004	42.4259	41.1436	42.8596	41.293400000000005	42.0039	41.5197	42.2938	41.0443	43.316500000000005	42.2863	43.0089	42.3348	42.302499999999995	42.8718	43.5191	42.1384	43.234	42.9602	44.520900000000005	42.2155	43.8764	42.5743	44.4739	43.8811	43.6869	43.032	44.3581	43.5272	44.528	42.3893	44.4604	43.7066	45.203700000000005	44.046	46.158100000000005	42.2743	46.8358	42.8307	45.1747	43.2791	44.831199999999995	43.2682	46.801500000000004	43.8697	46.3347	44.210100000000004	48.1338	44.9801	48.4138	44.5354	46.646300000000004	42.8013
