Sample	Unique Reads	Duplicate Reads
Sde-ABol_013-Ex1-1B-lcwgs-1-1.1	825146.0	142151.0
Sde-ABol_013-Ex1-1B-lcwgs-1-1.2	833433.0	133864.0
Sde-ABol_014-Ex1-2B-lcwgs-1-1.1	3914.0	951.0
Sde-ABol_014-Ex1-2B-lcwgs-1-1.2	3956.0	909.0
Sde-ABol_015-Ex1-3B-lcwgs-1-1.1	233795.0	70340.0
Sde-ABol_015-Ex1-3B-lcwgs-1-1.2	241005.0	63130.0
Sde-ABol_016-Ex1-4B-lcwgs-1-1.1	373870.0	94820.0
Sde-ABol_016-Ex1-4B-lcwgs-1-1.2	384285.0	84405.0
Sde-ABol_017-Ex1-5B-lcwgs-1-1.1	349760.0	88488.0
Sde-ABol_017-Ex1-5B-lcwgs-1-1.2	357744.0	80504.0
Sde-ABol_018-Ex1-6B-lcwgs-1-1.1	49765.0	13595.0
Sde-ABol_018-Ex1-6B-lcwgs-1-1.2	51296.0	12064.0
Sde-ABol_019-Ex1-7B-lcwgs-1-1.1	30272.0	6741.0
Sde-ABol_019-Ex1-7B-lcwgs-1-1.2	30649.0	6364.0
Sde-ABol_020-Ex1-8B-lcwgs-1-1.1	2031950.0	396037.0
Sde-ABol_021-Ex1-9B-lcwgs-1-1.1	1889.0	180.0
Sde-ABol_021-Ex1-9B-lcwgs-1-1.2	1948.0	121.0
Sde-ABol_022-Ex1-10B-lcwgs-1-1.1	27833.0	5948.0
Sde-ABol_022-Ex1-10B-lcwgs-1-1.2	28181.0	5600.0
Sde-ABol_023-Ex1-11B-lcwgs-1-1.1	71032.0	14069.0
Sde-ABol_023-Ex1-11B-lcwgs-1-1.2	71775.0	13326.0
Sde-ABol_024-Ex1-12B-lcwgs-1-1.1	2105.0	226.0
Sde-ABol_024-Ex1-12B-lcwgs-1-1.2	2189.0	142.0
Sde-ABol_026-Ex1-2C-lcwgs-1-1.1	229345.0	40180.0
Sde-ABol_026-Ex1-2C-lcwgs-1-1.2	231043.0	38482.0
Sde-ABol_027-Ex1-3C-lcwgs-1-1.1	310749.0	52574.0
Sde-ABol_027-Ex1-3C-lcwgs-1-1.2	313094.0	50229.0
Sde-ABol_028-Ex1-4C-lcwgs-1-1.1	1137257.0	177929.0
Sde-ABol_028-Ex1-4C-lcwgs-1-1.2	1146570.0	168616.0
Sde-ABol_029-Ex1-5C-lcwgs-1-1.1	4355.0	274.0
Sde-ABol_029-Ex1-5C-lcwgs-1-1.2	4420.0	209.0
Sde-ABol_030-Ex1-6C-lcwgs-1-1.1	1015114.0	203887.0
Sde-ABol_031-Ex1-7C-lcwgs-1-1.1	118499.0	26278.0
Sde-ABol_031-Ex1-7C-lcwgs-1-1.2	119673.0	25104.0
Sde-ABol_032-Ex1-8C-lcwgs-1-1.1	196046.0	36698.0
Sde-ABol_032-Ex1-8C-lcwgs-1-1.2	198502.0	34242.0
Sde-ABol_034-Ex1-10C-lcwgs-1-1.1	3371.0	355.0
Sde-ABol_034-Ex1-10C-lcwgs-1-1.2	3445.0	281.0
Sde-ABol_036-Ex1-12C-lcwgs-1-1.1	6768.0	517.0
Sde-ABol_036-Ex1-12C-lcwgs-1-1.2	6874.0	411.0
Sde-ABol_037-Ex1-1D-lcwgs-1-1.1	226464.0	46074.0
Sde-ABol_037-Ex1-1D-lcwgs-1-1.2	229925.0	42613.0
Sde-ABol_038-Ex1-2D-lcwgs-1-1.1	1388.0	221.0
Sde-ABol_038-Ex1-2D-lcwgs-1-1.2	1450.0	159.0
Sde-ABol_039-Ex1-3D-lcwgs-1-1.1	735302.0	151205.0
Sde-ABol_039-Ex1-3D-lcwgs-1-1.2	747433.0	139074.0
Sde-ABol_040-Ex1-4D-lcwgs-1-1.1	65271.0	12344.0
Sde-ABol_040-Ex1-4D-lcwgs-1-1.2	66005.0	11610.0
