#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7198214	6703834	93.14	5525	0.08	1074	0.01	26892	0.37	460889	6.40
Ecoli	7198214	7197721	99.99	0	0.00	0	0.00	60	0.00	433	0.01
PhiX	7198214	7198214	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7198214	7198163	100.00	0	0.00	0	0.00	12	0.00	39	0.00
Vectors	7198214	7031147	97.67	5	0.00	0	0.00	1086	0.02	165976	2.31
Bacteria_24k	7198214	6810078	94.60	9035	0.13	15121	0.21	15195	0.21	348785	4.85
Protists_1k	7198214	6590683	91.56	29088	0.40	55375	0.77	12129	0.17	510939	7.10
Viruses	7198214	6837822	95.00	265	0.00	109	0.00	12562	0.17	347456	4.83
Fungi_RefSeq_release	7198214	6713155	93.26	3655	0.05	795	0.01	27034	0.38	453575	6.30
Coral	7198214	6815063	94.68	438	0.01	264	0.00	20894	0.29	361555	5.02
Bird	7198214	6791443	94.35	1957	0.03	206	0.00	24432	0.34	380176	5.28
Plant	7198214	6786262	94.28	1428	0.02	353	0.00	22506	0.31	387665	5.39

%Hit_no_genomes: 90.90
