#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2219974	1985712	89.45	1787	0.08	406	0.02	11134	0.50	220935	9.95
Ecoli	2219974	2219924	100.00	0	0.00	0	0.00	3	0.00	47	0.00
PhiX	2219974	2219974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2219974	2219972	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	2219974	2156160	97.13	1	0.00	0	0.00	451	0.02	63362	2.85
Bacteria_24k	2219974	2040816	91.93	2189	0.10	3681	0.17	7379	0.33	165909	7.47
Protists_1k	2219974	1942364	87.49	10280	0.46	21478	0.97	3965	0.18	241887	10.90
Viruses	2219974	2046857	92.20	65	0.00	12	0.00	5983	0.27	167057	7.53
Fungi_RefSeq_release	2219974	1988314	89.56	1256	0.06	253	0.01	11237	0.51	218914	9.86
Coral	2219974	2034963	91.66	133	0.01	80	0.00	10369	0.47	174429	7.86
Bird	2219974	2024878	91.22	597	0.03	89	0.00	10947	0.49	183463	8.26
Plant	2219974	2021037	91.04	473	0.02	123	0.01	9875	0.44	188466	8.49

%Hit_no_genomes: 86.88
