#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	980459	693007	70.68	19966	2.04	4912	0.50	4104	0.42	258470	26.36
Ecoli	980459	980421	100.00	0	0.00	0	0.00	8	0.00	30	0.00
PhiX	980459	980459	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	980459	980415	100.00	0	0.00	0	0.00	2	0.00	42	0.00
Vectors	980459	855619	87.27	1	0.00	0	0.00	327	0.03	124512	12.70
Bacteria_24k	980459	722954	73.74	4539	0.46	19530	1.99	5022	0.51	228414	23.30
Protists_1k	980459	698465	71.23	3885	0.40	6876	0.70	4481	0.46	266752	27.21
Viruses	980459	748292	76.32	70	0.01	114	0.01	3522	0.36	228461	23.30
Fungi_RefSeq_release	980459	721001	73.55	1289	0.13	141	0.01	5238	0.53	252790	25.78
Coral	980459	743980	75.89	49	0.00	19	0.00	5403	0.55	231008	23.56
Bird	980459	739314	75.40	171	0.02	27	0.00	4863	0.50	236084	24.08
Plant	980459	736426	75.11	156	0.02	39	0.00	4012	0.41	239826	24.46

%Hit_no_genomes: 65.90
