#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	63488	56916	89.64	35	0.06	13	0.02	259	0.41	6265	9.87
Ecoli	63488	63483	99.99	0	0.00	0	0.00	0	0.00	5	0.01
PhiX	63488	63488	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	63488	63488	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	63488	61218	96.42	0	0.00	0	0.00	6	0.01	2264	3.57
Bacteria_24k	63488	58043	91.42	36	0.06	236	0.37	178	0.28	4995	7.87
Protists_1k	63488	55968	88.15	248	0.39	455	0.72	94	0.15	6723	10.59
Viruses	63488	58300	91.83	0	0.00	1	0.00	173	0.27	5014	7.90
Fungi_RefSeq_release	63488	56999	89.77	23	0.04	6	0.01	253	0.40	6207	9.78
Coral	63488	58054	91.45	6	0.01	2	0.00	231	0.36	5195	8.18
Bird	63488	57769	90.99	18	0.03	2	0.00	239	0.38	5460	8.60
Plant	63488	57776	91.00	17	0.03	1	0.00	214	0.34	5480	8.63

%Hit_no_genomes: 87.42
