#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	605684	548356	90.53	669	0.11	139	0.02	3309	0.55	53211	8.79
Ecoli	605684	605682	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	605684	605684	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	605684	605684	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	605684	583078	96.27	3	0.00	0	0.00	206	0.03	22397	3.70
Bacteria_24k	605684	566438	93.51	101	0.02	97	0.02	1678	0.28	37370	6.17
Protists_1k	605684	536091	88.52	3177	0.52	6717	1.11	985	0.16	58714	9.69
Viruses	605684	565135	93.32	30	0.00	12	0.00	1538	0.25	38969	6.43
Fungi_RefSeq_release	605684	550218	90.84	413	0.07	92	0.02	3388	0.56	51573	8.51
Coral	605684	563068	92.96	61	0.01	31	0.01	2735	0.45	39789	6.57
Bird	605684	558493	92.22	253	0.04	26	0.00	3214	0.53	43698	7.21
Plant	605684	558988	92.28	193	0.03	35	0.01	3009	0.50	43459	7.18

%Hit_no_genomes: 87.98
